             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10807040    shared P91f7b2a mconte@u  R      18:26      1 compute0046
          10807083    shared P8cf7caa mconte@u  R       9:02      1 compute0122
          10807080    shared P2bd12aa mconte@u  R       9:35      1 compute0045
          10807081    shared P5d659a7 mconte@u  R       9:35      1 compute0071
          10807082    shared Pbf451b8 mconte@u  R       9:35      1 compute0084
          10807079    shared Pae63bc2 mconte@u  R       9:57      1 compute0108
          10807078    shared Pb1d9a42 mconte@u  R      10:06      1 compute0073
          10807077    shared Pd53832e mconte@u  R      11:07      1 compute0021
          10807075    shared P42bdce5 mconte@u  R      11:50      1 compute0036
          10807074    shared P13013d1 mconte@u  R      11:55      1 compute0042
          10807073    shared P6337c82 mconte@u  R      11:57      1 compute0102
          10807070    shared P6959932 mconte@u  R      12:02      1 compute0065
          10807071    shared P2c1b9ff mconte@u  R      12:02      1 compute0139
          10807072    shared P0a2e8f7 mconte@u  R      12:02      1 compute0002
          10807069    shared P94c31eb mconte@u  R      12:08      1 compute0128
          10807068    shared P86eccd6 mconte@u  R      12:22      1 compute0066
          10807067    shared Paa9d095 mconte@u  R      13:56      1 compute0024
          10807064    shared Pd517042 mconte@u  R      14:00      1 compute0103
          10807065    shared Pf8f2cb3 mconte@u  R      14:00      1 compute0131
          10807066    shared P81b82b0 mconte@u  R      14:00      1 compute0132
          10807090    shared Pcdf6b62 mconte@u  R       4:48      1 compute0013
          10807089    shared P4d20379 mconte@u  R       5:47      1 compute0056
          10807088    shared P282b0b5 mconte@u  R       5:58      1 compute0112
          10807087    shared P90e5d57 mconte@u  R       7:13      1 compute0120
          10807086    shared P1145ac4 mconte@u  R       7:26      1 compute0040
          10807085    shared Pa21257c mconte@u  R       7:53      1 compute0143
          10807084    shared Pd7a368f mconte@u  R       8:48      1 compute0093
          10807101    shared Pb1014ac mconte@u  R       0:04      1 compute0010
          10807100    shared P6b15b78 mconte@u  R       0:06      1 compute0106
          10807099    shared Pb06eb67 mconte@u  R       0:15      1 compute0144
          10807098    shared P1186ac4 mconte@u  R       0:45      1 compute0052
          10807097    shared Pa0de8ea mconte@u  R       0:52      1 compute0094
          10807096    shared Pa8847f1 mconte@u  R       1:47      1 compute0127
          10807095    shared P8f7ecce mconte@u  R       2:06      1 compute0048
          10807094    shared P086b5eb mconte@u  R       2:29      1 compute0012
          10807093    shared P3e750cd mconte@u  R       3:17      1 compute0140
          10807092    shared Pa0b57a7 mconte@u  R       3:23      1 compute0090
          10807091    shared P22bc8cd mconte@u  R       3:34      1 compute0081
          10798997    shared serial-j mxiao3@j  R 1-06:47:24      1 compute0076
          10799015    shared serial-j mxiao3@j  R 1-06:46:41      1 compute0001
          10799027    shared serial-j mxiao3@j  R 1-06:46:41      1 compute0099
          10799036    shared serial-j mxiao3@j  R 1-06:46:41      1 compute0109
          10799038    shared serial-j mxiao3@j  R 1-06:46:41      1 compute0141
          10799051    shared serial-j mxiao3@j  R 1-06:46:40      1 compute0089
          10799060    shared serial-j mxiao3@j  R 1-06:46:40      1 compute0106
          10799078    shared serial-j mxiao3@j  R 1-06:46:40      1 compute0058
          10799085    shared serial-j mxiao3@j  R 1-06:46:40      1 compute0123
          10806915    shared Anitacuf tromeo1@  R    1:29:31      1 compute0105
        10805099_1    shared kernel_d struelo1  R    6:01:59      1 compute0076
        10805099_2    shared kernel_d struelo1  R    6:01:59      1 compute0076
        10805099_3    shared kernel_d struelo1  R    6:01:59      1 compute0076
        10805099_4    shared kernel_d struelo1  R    6:01:59      1 compute0076
       10805104_17    shared kernel_d struelo1  R    6:01:58      1 compute0022
       10805104_18    shared kernel_d struelo1  R    6:01:58      1 compute0022
       10805104_19    shared kernel_d struelo1  R    6:01:58      1 compute0022
       10805104_20    shared kernel_d struelo1  R    6:01:58      1 compute0022
        10805104_1    shared kernel_d struelo1  R    6:01:59      1 compute0010
        10805104_2    shared kernel_d struelo1  R    6:01:59      1 compute0010
        10805104_3    shared kernel_d struelo1  R    6:01:59      1 compute0020
        10805104_4    shared kernel_d struelo1  R    6:01:59      1 compute0020
        10805104_5    shared kernel_d struelo1  R    6:01:59      1 compute0020
        10805104_6    shared kernel_d struelo1  R    6:01:59      1 compute0020
        10805104_7    shared kernel_d struelo1  R    6:01:59      1 compute0020
        10805104_8    shared kernel_d struelo1  R    6:01:59      1 compute0020
        10805104_9    shared kernel_d struelo1  R    6:01:59      1 compute0020
       10805104_10    shared kernel_d struelo1  R    6:01:59      1 compute0020
       10805104_11    shared kernel_d struelo1  R    6:01:59      1 compute0022
       10805104_12    shared kernel_d struelo1  R    6:01:59      1 compute0022
       10805104_13    shared kernel_d struelo1  R    6:01:59      1 compute0022
       10805104_14    shared kernel_d struelo1  R    6:01:59      1 compute0022
       10805104_15    shared kernel_d struelo1  R    6:01:59      1 compute0022
       10805104_16    shared kernel_d struelo1  R    6:01:59      1 compute0022
